Gene,Score
TTN,1
MUC16,1
DST,0.9999982
HMCN1,0.9999229
ST6GALNAC3,0.99977833
NEB,0.999767
DMD,0.9997235
MUC4,0.9996793
FLG,0.9994943
SYNE2,0.99921846
RYR3,0.9987362
LAMA1,0.9983542
SPTA1,0.99787366
CHD4,0.9975859
UBR4,0.99735
CSMD1,0.99673575
MYH9,0.9963935
MAP1A,0.9963398
CACNA1F,0.9938858
COL14A1,0.9937803
THBS1,0.9930865
COL4A5,0.992702
FAT1,0.99257505
CASP9,0.9924015
FAT3,0.9923768
TARS2,0.992281
ZFHX4,0.9921238
DNAH2,0.9920846
HUWE1,0.99204975
AHNAK,0.9919944
FN1,0.99086386
PDGFRB,0.9907583
MACF1,0.99043757
GSK3B,0.99039406
IKBKB,0.9898691
RAF1,0.9896304
MYCBP2,0.9894559
UBR5,0.9892113
ANK3,0.9890246
BCL2,0.9884322
PRKCA,0.9883305
KDR,0.98798174
COL6A3,0.9877385
PRKDC,0.9875042
AKAP9,0.98749244
LRP1B,0.98736924
PRKACA,0.98674923
TSC2,0.9866409
ASPM,0.98654675
LRP2,0.98594403
CCND2,0.9858628
LRP1,0.9856149
FREM1,0.98539954
BCL2L1,0.9842594
LCT,0.98423463
CUL1,0.98417073
REV3L,0.9841002
OBSCN,0.98370326
TCHH,0.98325676
TSHZ3,0.98263884
IGF1,0.9822404
RELA,0.9822218
FGFR4,0.9819661
CACNA1E,0.9818763
NTRK2,0.98175275
INSR,0.9809713
ESPL1,0.98072284
MUC5B,0.98069316
NCOR2,0.9804904
TGFBR1,0.9803602
PLCB4,0.97986335
HCFC1,0.9795939
CDKN1A,0.97910327
PDZD2,0.9787087
JUN,0.97772026
MAP3K4,0.97769016
GRB2,0.9776684
RBX1,0.97750777
CACNA1C,0.97715
TEK,0.9767904
MAPK14,0.97676086
CDK2,0.9763983
TP73,0.9762883
FRMPD4,0.9761721
CACNA1A,0.97616994
GRIK1,0.9758125
SKP1,0.975593
HDAC1,0.9754894
MAGI2,0.9754765
ANGPT4,0.9753562
MAPK1,0.9751813
KIAA1109,0.9749604
NRIP1,0.9746907
SPHKAP,0.9746542
SETX,0.974394
CDH10,0.9743523
ANGPT1,0.9743386
DNAH12,0.9741444
MTOR,0.97411895
NFATC2,0.9737269
PPP3CA,0.97280145
CASP3,0.9727278
NFKB1,0.97271675
SCN2A,0.97236013
CIT,0.9721399
HSP90AA1,0.97213674
MAPK3,0.97212785
PTK2,0.9715209
CHD7,0.97150403
KMO,0.97142875
CHUK,0.9712965
HSP90AB1,0.9710599
SRCAP,0.97096765
MCM7,0.9706708
FGF22,0.970616
SACS,0.9706104
MDN1,0.970602
AHNAK2,0.9704185
ADAMTSL3,0.97020423
SPTAN1,0.97012556
BPTF,0.97003675
F8,0.9699621
CDK4,0.9694698
NFATC4,0.96928376
PDE1C,0.9691945
TAF1,0.9690558
TG,0.9690261
ITPR1,0.96866155
PSEN2,0.9674855
STAG1,0.9668043
EPHA2,0.9665719
MAP3K5,0.966399
NFATC1,0.9658707
ABL1,0.9653698
DUSP16,0.96527505
ADAMTS13,0.96525526
PRKCB,0.9652357
HIVEP1,0.96519053
COL4A4,0.96506697
UBC,0.96481544
KAT2A,0.964636
ATF2,0.9644019
AHCTF1,0.96431464
DNMT1,0.9642712
HGF,0.96413976
VANGL1,0.9634447
IGF2,0.96325886
YWHAZ,0.9631594
MAPK10,0.9630149
FLNB,0.9628474
ROCK2,0.96277624
MAGI1,0.96262753
SMYD3,0.9625901
FLT3,0.96255976
HERC2,0.96213436
APOB,0.9619513
MYOM2,0.9611311
THOC2,0.9609324
TDRD6,0.9604198
TPR,0.9602422
TRPS1,0.96011585
RAC1,0.9599715
COL4A3,0.95992917
COL4A6,0.9598107
MAML1,0.9597594
SHPRH,0.9597426
MYT1L,0.9594957
ATXN1,0.95948243
DNAH17,0.95942765
HIVEP3,0.95841664
TCF7L2,0.9583359
HTT,0.95800555
NGFR,0.9575608
DYNC2H1,0.95753556
NIPBL,0.95734555
ANLN,0.95727015
FASLG,0.9572684
FZD4,0.9571976
MAP2K6,0.95718145
CACNA1B,0.9570455
ANK2,0.95683515
CRK,0.95680153
PCDHB6,0.95654416
FGF7,0.95640653
PRICKLE2,0.9563766
TRAF6,0.956202
MEF2C,0.9561491
HSPA8,0.956088
SLC4A4,0.9560417
FOS,0.9560034
CCNB3,0.9556374
CDH19,0.9555349
FGF9,0.9549217
NAV3,0.9546371
MXRA5,0.9543144
PIWIL1,0.9541995
RIMS2,0.9531089
CSF1,0.95300245
MLH3,0.9529543
PAK2,0.9525826
PPP2R1A,0.95249933
MAST1,0.9524359
WNK3,0.9523968
KIF4A,0.95213497
MAPK8,0.9519718
MAP2K1,0.95170426
SOS2,0.95153815
LEF1,0.95152605
TRPC5,0.95114875
FGF20,0.95102704
UTRN,0.9509699
VWF,0.950915
CDC42BPA,0.9507987
TSHZ2,0.95037794
RASGRF2,0.9502604
BUB1,0.9501859
VEGFA,0.95009786
CTNND2,0.9500476
RPS6KA2,0.9498769
FLT1,0.9498538
STAT3,0.9496114
SIRT1,0.9494276
RBPJ,0.9485457
BACH2,0.94815576
THBS2,0.94813
LRRK2,0.94809425
DLL1,0.94772923
COL4A2,0.9474101
RASA1,0.94732744
TP53BP1,0.94732654
HDAC2,0.9471705
DNAH1,0.9470081
TFAP2A,0.946664
PPP2CA,0.9462828
BDP1,0.94615304
IKBKG,0.94614995
CACNA1D,0.94605315
NUMB,0.94565505
APAF1,0.9455919
RP1,0.94558054
FANCA,0.94464093
PLXNA4,0.9442335
IGHG1,0.944202
CEP170,0.9440764
MAP2K5,0.94395256
NFKB2,0.9438988
ZNF692,0.9436024
JAK1,0.94330853
KALRN,0.94302
TLR7,0.9428947
NCSTN,0.9427575
MAP3K3,0.9423931
TBL1X,0.94227237
OPRM1,0.9414955
PAK1,0.941291
E2F1,0.9410003
MAPK8IP2,0.94081485
LRRC7,0.9407088
FRMPD1,0.940595
ADAM17,0.94018763
MAML3,0.9398779
ALMS1,0.93982637
COL11A1,0.93978715
RASGRF1,0.93976086
PLCB3,0.9397021
SCN10A,0.93943167
MAPK8IP3,0.9393522
PLCB1,0.93931764
PLK1,0.9391643
MAP3K11,0.93910754
HERC1,0.93910587
YWHAG,0.939033
CUL7,0.93877035
RGS7,0.9385468
COL1A2,0.9384526
MYO10,0.9383815
ADAM10,0.9383179
CENPE,0.93818307
RNF213,0.9380899
BTRC,0.93714565
TAB3,0.93709874
MAPT,0.9369903
SOS1,0.93698025
SMC3,0.9368875
MDM1,0.93683386
PLCG1,0.9362293
LGR5,0.9360799
CAMK2D,0.9358636
DNAH8,0.9357234
JAK3,0.9354134
LAMA2,0.93537587
FGF23,0.93501544
ROR1,0.93491113
OGT,0.9348922
UHRF2,0.93484676
CDH6,0.9345304
ITGB3,0.93417287
RXRA,0.9337278
CDC25C,0.9336154
LAMB1,0.93348056
BSN,0.9333919
MAP2K3,0.9333075
FBN1,0.9332219
SRF,0.933029
CACNA1S,0.93302876
SCN4A,0.93292856
DAAM1,0.9328968
ANGPT2,0.93284255
PCNA,0.9327669
CHD9,0.9326908
PRUNE2,0.93252957
DLL4,0.9322529
CDC42,0.93219775
EFNA4,0.93211126
ADNP,0.93193376
DSCAM,0.93181336
PCDH19,0.9317293
ORC2,0.93165
HCN1,0.9315905
SMAD2,0.9315192
CCNE2,0.93139994
THBS4,0.9313777
CACNA1G,0.9311262
DNAH14,0.93110853
PRKCG,0.93082726
CCDC88C,0.93065566
NR4A1,0.9303716
FBXW11,0.93037003
ITGB4,0.92996055
PIK3CG,0.9298579
ECM1,0.9297436
CRTC2,0.9292775
ITGA10,0.9290335
PTPRZ1,0.9289944
SALL1,0.9288312
TLN1,0.9287723
PKN2,0.92857695
MAP3K7,0.92857623
HECW1,0.92852503
VEGFB,0.92837995
TGFA,0.9283187
IL4R,0.9279031
HES1,0.9278657
COL4A1,0.92782104
ANKRD11,0.9277935
MAP3K12,0.92778796
ZMYM2,0.9276357
FREM2,0.9272998
THSD7A,0.9272794
YWHAB,0.9271753
KCNT2,0.9270528
CSMD2,0.92695665
KDM2A,0.92682296
CSNK2A2,0.92644536
PERP,0.92634094
CDC37,0.9262325
TRPM3,0.9261649
PDGFC,0.9261152
NSD1,0.9258275
RAPGEF2,0.9257839
LIMA1,0.9253947
XPO1,0.9253741
PTPRH,0.9253594
CEP350,0.9253528
SCN3A,0.92526805
SIPA1L1,0.925087
MDM4,0.92474115
ITGAV,0.9247209
COL17A1,0.92440057
RPS6KA5,0.92431676
LRP6,0.92427874
LOXHD1,0.9242183
WIF1,0.924124
MAPK12,0.92388064
NOS3,0.9237376
SP3,0.92373717
PLCB2,0.92349994
FGF8,0.92344934
RANBP2,0.9234004
MAP4K4,0.9231435
TNXB,0.9231161
NFATC3,0.9223708
MAP2K7,0.92207754
GON4L,0.92173946
LGR4,0.92116666
PCDH9,0.92109525
TERT,0.92073756
CSNK2A1,0.92070544
PPP3CC,0.9206335
PKN1,0.9205938
WDFY3,0.9205648
FGF2,0.92036074
EFNA3,0.9202907
WNK1,0.91997266
PPM1A,0.91921943
MYO7A,0.91917026
FZD6,0.9189158
IRS1,0.9188174
DDX11,0.91847795
NRP2,0.91834253
ITGA4,0.91796464
MATN2,0.91739476
OR2W3,0.91729873
TJP1,0.91727656
EFNA2,0.9171393
POLE,0.9170361
GRIA1,0.91689926
CSF1R,0.91681504
RELN,0.9166734
EFNA1,0.91648906
CDH23,0.9161954
APC2,0.9154451
IL1R1,0.9147108
SYNM,0.91448176
DSCAML1,0.9141985
PTPRA,0.91401094
EYS,0.91390604
ITGB1,0.91370744
DLC1,0.9135851
CSNK1E,0.9134391
LPAR4,0.9133482
TLR4,0.9132448
MYH7,0.91300184
GRM1,0.91275567
DNAH6,0.9125819
KITLG,0.91243905
WNT2B,0.9123168
NPAS4,0.91226393
PPP2R5D,0.9117325
RBL1,0.9115706
WNT7A,0.91154563
MAP3K8,0.91144055
BID,0.9112541
PGF,0.91124576
HORMAD1,0.9111915
RP1L1,0.91115296
COL12A1,0.91097367
TNFRSF1A,0.9108858
COL5A1,0.910827
LAMC2,0.91054374
ZNF292,0.9104959
FGFR3,0.9103868
LZTS2,0.9098012
CAMK2A,0.90881807
TGFB1,0.90856224
PPP3CB,0.90848255
ADGRB1,0.9082947
MMP7,0.90817
SRRM2,0.9081159
PDS5A,0.9081029
NRCAM,0.9080412
RPS6KA1,0.9079638
CHD6,0.9077745
PTPN12,0.90741175
KIF26B,0.90731156
CDC42BPB,0.9071359
ROCK1,0.90706503
FGF19,0.90702
YWHAE,0.90682703
MAPK8IP1,0.9067627
CABIN1,0.9067499
CUL4B,0.9064378
CACNA2D1,0.90629923
UNC13A,0.9057439
ITIH5,0.90573376
MAPK9,0.90508515
GNA12,0.904826
PPARD,0.90439296
MAX,0.90424913
FAT4,0.90404534
ZP4,0.9039533
TCF7,0.9038109
TAB1,0.9037119
TAOK3,0.9033921
POLR2A,0.9032229
RAP1A,0.9032038
AKAP13,0.9028078
MKI67,0.90275246
RUVBL1,0.90270466
CREB1,0.90242153
NOTCH4,0.90240693
ATF4,0.90203625
SMCHD1,0.9019753
HSPB1,0.9018265
ACTB,0.901678
ROBO1,0.90151775
AKAP11,0.90136546
SFRP4,0.900754
YWHAH,0.90069777
SKP2,0.90069705
MAP3K10,0.90047014
PHKA2,0.9003801
DDX17,0.90030044
SMC1B,0.9002917
SYCP1,0.90010375
ASXL3,0.9000211
ANO2,0.89980745
TNC,0.8996428
CDC25B,0.89949256
PCDH15,0.8993688
MYO15A,0.8992508
KIF1B,0.8992349
RPS6KA3,0.89921707
PLA2G4D,0.89913136
MYH1,0.89897394
ACTN2,0.89882946
DNM3,0.8984603
PTPRF,0.89844793
HNF1A,0.8981953
FGF5,0.89814234
MCC,0.89812964
CFTR,0.89804494
ARRB2,0.8979985
RBBP6,0.8979929
ELK1,0.89787304
CACNA2D2,0.89765006
VANGL2,0.89749485
RIMS1,0.8974752
SLITRK1,0.89743036
MYH14,0.89716494
TRAF2,0.8970456
GDF9,0.89677566
EREG,0.8967696
SCN1A,0.896759
DNAH9,0.89668494
DNM1,0.8965067
AURKB,0.89637595
EPHA5,0.8963677
CRKL,0.8963382
ITGA2B,0.89626324
GEMIN5,0.8958304
PTPN13,0.89581686
CYFIP1,0.8957307
MCM6,0.8953179
IRAK1,0.8949106
LAMA4,0.89477235
KAT6A,0.8946297
AKAP6,0.89458716
FAM171A1,0.8942834
DLG3,0.8941502
EPHB2,0.89410293
CER1,0.89392287
CSNK1A1,0.8936747
PIK3R3,0.893501
ARHGAP31,0.8932805
MAP2K2,0.8931606
ERN2,0.8931085
PTPRB,0.89303786
PRKAA1,0.89282143
COL7A1,0.892809
COL1A1,0.89256614
ROR2,0.8922164
RPS6KB1,0.8921402
EGF,0.8920292
PPM1B,0.8920021
MAP2,0.8919577
SYK,0.89186066
DLG1,0.8918078
ANK1,0.89162976
SIK3,0.8915714
CSNK2B,0.8912673
KIF21B,0.89121777
CCAR2,0.89113384
DTX3L,0.8910124
SFRP1,0.8909003
PDGFA,0.89080566
GREB1L,0.8905828
RB1CC1,0.89030874
CTBP1,0.8899099
AXIN2,0.8897139
CACNA1H,0.88966125
CIR1,0.8895939
HDAC5,0.88950354
CAMK2G,0.88943356
DUSP10,0.8892172
TLR3,0.88902587
LAMB3,0.8890121
DSP,0.88880044
TAB2,0.8883709
RAC2,0.88814956
JUND,0.8881336
RNF43,0.8878834
BDNF,0.8877233
TAOK2,0.8875224
RUNX1T1,0.8873417
RGS3,0.8870435
TNFRSF10A,0.8869442
MFNG,0.88684916
GLI3,0.886729
HSPA6,0.8864919
RASSF1,0.88637364
MYLK,0.8862259
CAMK2B,0.8853813
DUSP1,0.885371
MAML2,0.8853235
TRDN,0.88517135
CDH7,0.8851057
SI,0.88508683
INSRR,0.8850072
DOCK4,0.8849968
SOX17,0.8849864
DNAH3,0.8849599
KMT2B,0.8848804
WEE1,0.88477653
CDKN2C,0.884731
ABCA12,0.8846937
PTPN7,0.8846402
RABEP1,0.8842872
DDB2,0.88399416
ANKRD12,0.88349
JAG1,0.88295996
CNKSR2,0.8828558
FGF18,0.88268363
MYO5B,0.8819249
FGF1,0.8818932
MCM2,0.8818792
HDAC8,0.8818693
FGF17,0.88177603
PIK3R2,0.88174
MBD5,0.8817281
PCDHGA11,0.8816088
RASA2,0.881503
DOCK11,0.88142455
FOSL1,0.8812207
LAMA5,0.8811129
E2F3,0.8810482
ST18,0.8808359
MKNK1,0.880799
PLXNA2,0.8807397
CREB5,0.8807397
EPB41L3,0.8801296
CDC27,0.8800962
ITGA5,0.88004035
PLCE1,0.8798546
RRM2B,0.87965053
PLA2G4A,0.87960505
HPS3,0.8792533
SNTG1,0.8788761
DYNC1H1,0.8788683
PIDD1,0.8788306
IL1RAP,0.8786934
MORC1,0.8786528
MAST4,0.87835
TFDP1,0.87824535
NEDD4,0.8782421
